movieId,title,genres
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,Jumanji (1995),Adventure|Children|Fantasy
2,Grumpier Old Men (1995),Comedy|Romance
3,Waiting to Exhale (1995),Comedy|Drama|Romance
4,Father of the Bride Part II (1995),Comedy
5,Heat (1995),Action|Crime|Thriller
6,Sabrina (1995),Comedy|Romance
7,Tom and Huck (1995),Adventure|Children
8,Sudden Death (1995),Action
9,GoldenEye (1995),Action|Adventure|Thriller
10,"American President, The (1995)",Comedy|Drama|Romance
11,Dracula: Dead and Loving It (1995),Comedy|Horror
12,Balto (1995),Adventure|Animation|Children
13,Nixon (1995),Drama
14,Cutthroat Island (1995),Action|Adventure|Romance
15,Casino (1995),Crime|Drama
16,Sense and Sensibility (1995),Drama|Romance
17,Four Rooms (1995),Comedy
18,Ace Ventura: When Nature Calls (1995),Comedy
19,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
20,Get Shorty (1995),Comedy|Crime|Thriller
21,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
22,Assassins (1995),Action|Crime|Thriller
23,Powder (1995),Drama|Sci-Fi
24,Leaving Las Vegas (1995),Drama|Romance
25,Othello (1995),Drama
26,Now and Then (1995),Children|Drama
27,Persuasion (1995),Drama|Romance
28,"City of Lost Children, The (Citﾃｩ des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
30,Dangerous Minds (1995),Drama
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,Wings of Courage (1995),Adventure|Romance|IMAX
33,Babe (1995),Children|Drama
34,Carrington (1995),Drama|Romance
35,Dead Man Walking (1995),Crime|Drama
36,Across the Sea of Time (1995),Documentary|IMAX
37,It Takes Two (1995),Children|Comedy
38,Clueless (1995),Comedy|Romance
39,"Cry, the Beloved Country (1995)",Drama
40,Richard III (1995),Drama|War
41,Dead Presidents (1995),Action|Crime|Drama
42,Restoration (1995),Drama
43,Mortal Kombat (1995),Action|Adventure|Fantasy
44,To Die For (1995),Comedy|Drama|Thriller
45,How to Make an American Quilt (1995),Drama|Romance
46,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
47,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
48,When Night Is Falling (1995),Drama|Romance
49,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
50,Guardian Angel (1994),Action|Drama|Thriller
51,Mighty Aphrodite (1995),Comedy|Drama|Romance
52,Lamerica (1994),Adventure|Drama
53,"Big Green, The (1995)",Children|Comedy
54,Georgia (1995),Drama
55,Kids of the Round Table (1995),Adventure|Children|Fantasy
56,Home for the Holidays (1995),Drama
57,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
58,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
59,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
60,Eye for an Eye (1996),Drama|Thriller
61,Mr. Holland's Opus (1995),Drama
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
63,Two if by Sea (1996),Comedy|Romance
64,Bio-Dome (1996),Comedy
65,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
66,Two Bits (1995),Drama
67,French Twist (Gazon maudit) (1995),Comedy|Romance
68,Friday (1995),Comedy
69,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
70,Fair Game (1995),Action
71,Kicking and Screaming (1995),Comedy|Drama
72,"Misﾃｩrables, Les (1995)",Drama|War
73,Bed of Roses (1996),Drama|Romance
74,Big Bully (1996),Comedy|Drama
75,Screamers (1995),Action|Sci-Fi|Thriller
76,Nico Icon (1995),Documentary
77,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
78,"Juror, The (1996)",Drama|Thriller
79,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
80,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
81,Antonia's Line (Antonia) (1995),Comedy|Drama
82,Once Upon a Time... When We Were Colored (1995),Drama|Romance
83,Last Summer in the Hamptons (1995),Comedy|Drama
84,Angels and Insects (1995),Drama|Romance
85,White Squall (1996),Action|Adventure|Drama
86,Dunston Checks In (1996),Children|Comedy
87,Black Sheep (1996),Comedy
88,Nick of Time (1995),Action|Thriller
89,"Journey of August King, The (1995)",Drama
90,Mary Reilly (1996),Drama|Horror|Thriller
91,Vampire in Brooklyn (1995),Comedy|Horror|Romance
92,Beautiful Girls (1996),Comedy|Drama|Romance
93,Broken Arrow (1996),Action|Adventure|Thriller
94,In the Bleak Midwinter (1995),Comedy|Drama
95,"Hate (Haine, La) (1995)",Crime|Drama
96,Shopping (1994),Action|Thriller
97,Heidi Fleiss: Hollywood Madam (1995),Documentary
98,City Hall (1996),Drama|Thriller
99,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
100,Mr. Wrong (1996),Comedy
101,Unforgettable (1996),Mystery|Sci-Fi|Thriller
102,Happy Gilmore (1996),Comedy
103,"Bridges of Madison County, The (1995)",Drama|Romance
104,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
105,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
106,Catwalk (1996),Documentary
107,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller
108,Braveheart (1995),Action|Drama|War
109,Taxi Driver (1976),Crime|Drama|Thriller
110,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
111,Before and After (1996),Drama|Mystery
112,Margaret's Museum (1995),Drama
113,"Happiness Is in the Field (Bonheur est dans le prﾃｩ, Le) (1995)",Comedy
114,Anne Frank Remembered (1995),Documentary
115,"Young Poisoner's Handbook, The (1995)",Crime|Drama
116,If Lucy Fell (1996),Comedy|Romance
117,"Steal Big, Steal Little (1995)",Comedy
118,Race the Sun (1996),Adventure|Comedy|Drama
119,"Boys of St. Vincent, The (1992)",Drama
120,Boomerang (1992),Comedy|Romance
121,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
122,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
123,Flirting With Disaster (1996),Comedy
124,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
125,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama
126,Jupiter's Wife (1994),Documentary
127,Pie in the Sky (1996),Comedy|Romance
128,Angela (1995),Drama
129,Frankie Starlight (1995),Drama|Romance
130,Jade (1995),Thriller
131,Nueba Yol (1995),Comedy|Drama
132,Sonic Outlaws (1995),Documentary
133,Down Periscope (1996),Comedy
134,From the Journals of Jean Seberg (1995),Documentary
135,Man of the Year (1995),Documentary
136,"Neon Bible, The (1995)",Drama
137,Target (1995),Action|Drama
138,Up Close and Personal (1996),Drama|Romance
139,"Birdcage, The (1996)",Comedy
140,Shadows (Cienie) (1988),Drama
141,Gospa (1995),Drama
142,"Brothers McMullen, The (1995)",Comedy
143,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
144,"Amazing Panda Adventure, The (1995)",Adventure|Children
145,"Basketball Diaries, The (1995)",Drama
146,"Awfully Big Adventure, An (1995)",Drama
147,Amateur (1994),Crime|Drama|Thriller
148,Apollo 13 (1995),Adventure|Drama|IMAX
149,Rob Roy (1995),Action|Drama|Romance|War
150,"Addiction, The (1995)",Drama|Horror
151,Batman Forever (1995),Action|Adventure|Comedy|Crime
152,Beauty of the Day (Belle de jour) (1967),Drama
153,Beyond Rangoon (1995),Adventure|Drama|War
